Entity,Code,Year,Renewables (% growth)
Africa,,1966,11.537552
Africa,,1967,4.3883324
Africa,,1968,16.970957
Africa,,1969,16.699196
Africa,,1970,25.019527
Africa,,1971,-5.2588344
Africa,,1972,13.831818
Africa,,1973,5.763805
Africa,,1974,13.7276535
Africa,,1975,5.7136536
Africa,,1976,10.801447
Africa,,1977,9.84962
Africa,,1978,0.8330345
Africa,,1979,7.0196867
Africa,,1980,-2.5066078
Africa,,1981,3.899765
Africa,,1982,0.062155724
Africa,,1983,-9.843093
Africa,,1984,-1.6561806
Africa,,1985,11.16786
Africa,,1986,4.194975
Africa,,1987,-4.034233
Africa,,1988,9.061729
Africa,,1989,4.9313664
Africa,,1990,2.051556
Africa,,1991,5.878067
Africa,,1992,-4.4881287
Africa,,1993,-1.8400311
Africa,,1994,1.4128327
Africa,,1995,4.030061
Africa,,1996,4.584837
Africa,,1997,2.6177883
Africa,,1998,4.7974586
Africa,,1999,5.888748
Africa,,2000,7.3786974
Africa,,2001,7.624471
Africa,,2002,5.5375695
Africa,,2003,-2.2217035
Africa,,2004,6.1810374
Africa,,2005,1.1902928
Africa,,2006,4.3929815
Africa,,2007,3.5236
Africa,,2008,2.0279765
Africa,,2009,2.859044
Africa,,2010,8.552051
Africa,,2011,3.5244823
Africa,,2012,1.060009
Africa,,2013,6.305313
Africa,,2014,8.051944
Africa,,2015,2.509451
Africa,,2016,0.36648512
Africa,,2017,9.212089
Africa,,2018,7.7993035
Africa,,2019,7.107222
Africa,,2020,7.3724627
Africa,,2021,5.768299
Africa,,2022,3.1367779
Africa (EI),,1966,11.537552
Africa (EI),,1967,4.3883443
Africa (EI),,1968,16.970957
Africa (EI),,1969,16.699183
Africa (EI),,1970,25.019539
Africa (EI),,1971,-5.2588344
Africa (EI),,1972,13.831806
Africa (EI),,1973,5.763805
Africa (EI),,1974,13.7276535
Africa (EI),,1975,5.7136655
Africa (EI),,1976,10.8014345
Africa (EI),,1977,9.84962
Africa (EI),,1978,0.8330226
Africa (EI),,1979,7.0196986
Africa (EI),,1980,-2.5066137
Africa (EI),,1981,3.899765
Africa (EI),,1982,0.062155724
Africa (EI),,1983,-9.843093
Africa (EI),,1984,-1.6561806
Africa (EI),,1985,11.16786
Africa (EI),,1986,4.194987
Africa (EI),,1987,-4.034239
Africa (EI),,1988,9.061742
Africa (EI),,1989,4.9313664
Africa (EI),,1990,2.051556
Africa (EI),,1991,5.878067
Africa (EI),,1992,-4.4881287
Africa (EI),,1993,-1.8400311
Africa (EI),,1994,1.4128327
Africa (EI),,1995,4.030061
Africa (EI),,1996,4.584849
Africa (EI),,1997,2.6177883
Africa (EI),,1998,4.7974586
Africa (EI),,1999,5.888748
Africa (EI),,2000,7.3786974
Africa (EI),,2001,7.624483
Africa (EI),,2002,5.5375576
Africa (EI),,2003,-2.2217155
Africa (EI),,2004,6.1810493
Africa (EI),,2005,1.1902928
Africa (EI),,2006,4.3929815
Africa (EI),,2007,3.5236
Africa (EI),,2008,2.0279765
Africa (EI),,2009,2.8590322
Africa (EI),,2010,8.552063
Africa (EI),,2011,3.5244823
Africa (EI),,2012,1.060009
Africa (EI),,2013,6.305325
Africa (EI),,2014,8.051931
Africa (EI),,2015,2.509451
Africa (EI),,2016,0.36648512
Africa (EI),,2017,9.212089
Africa (EI),,2018,7.7993035
Africa (EI),,2019,7.10721
Africa (EI),,2020,7.3724747
Africa (EI),,2021,5.768299
Africa (EI),,2022,3.136766
Algeria,DZA,1966,-11.250001
Algeria,DZA,1967,15.492964
Algeria,DZA,1968,37.317085
Algeria,DZA,1969,-35.87922
Algeria,DZA,1970,60.66481
Algeria,DZA,1971,-43.103443
Algeria,DZA,1972,50
Algeria,DZA,1973,51.919186
Algeria,DZA,1974,-33.909573
Algeria,DZA,1975,-34.00402
Algeria,DZA,1976,18.597555
Algeria,DZA,1977,-30.84833
Algeria,DZA,1978,-7.0631924
Algeria,DZA,1979,16.400003
Algeria,DZA,1980,-11.683851
Algeria,DZA,1981,42.41245
Algeria,DZA,1982,30.874325
Algeria,DZA,1983,-50.939457
Algeria,DZA,1984,92.34042
Algeria,DZA,1985,42.920364
Algeria,DZA,1986,-61.300312
Algeria,DZA,1987,99.600006
Algeria,DZA,1988,-63.326656
Algeria,DZA,1989,23.497272
Algeria,DZA,1990,-40.265484
Algeria,DZA,1991,117.03703
Algeria,DZA,1992,-32.081913
Algeria,DZA,1993,77.386925
Algeria,DZA,1994,-52.974503
Algeria,DZA,1995,16.26507
Algeria,DZA,1996,-30.05181
Algeria,DZA,1997,-44.444443
Algeria,DZA,1998,186.66666
Algeria,DZA,1999,-5.581397
Algeria,DZA,2000,-73.39901
Algeria,DZA,2001,27.777767
Algeria,DZA,2002,-17.3913
Algeria,DZA,2003,364.91226
Algeria,DZA,2004,-5.283016
Algeria,DZA,2005,121.23506
Algeria,DZA,2006,-60.813976
Algeria,DZA,2007,3.8602948
Algeria,DZA,2008,25.221241
Algeria,DZA,2009,20.84806
Algeria,DZA,2010,-46.75439
Algeria,DZA,2011,117.52813
Algeria,DZA,2012,4.949093
Algeria,DZA,2013,-69.30649
Algeria,DZA,2014,99.05955
Algeria,DZA,2015,-12.598425
Algeria,DZA,2016,51.374805
Algeria,DZA,2017,72.29474
Algeria,DZA,2018,26.079441
Algeria,DZA,2019,6.4383626
Algeria,DZA,2020,-4.46589
Algeria,DZA,2021,-7.8809204
Algeria,DZA,2022,12.46711
Argentina,ARG,1966,1.2908101
Argentina,ARG,1967,2.3988008
Argentina,ARG,1968,17.862368
Argentina,ARG,1969,-10.310566
Argentina,ARG,1970,20.108854
Argentina,ARG,1971,-0.5101204
Argentina,ARG,1972,-1.6487837
Argentina,ARG,1973,93.66888
Argentina,ARG,1974,65.35835
Argentina,ARG,1975,4.017246
Argentina,ARG,1976,-3.4780025
Argentina,ARG,1977,14.872705
Argentina,ARG,1978,33.954407
Argentina,ARG,1979,37.657917
Argentina,ARG,1980,41.74149
Argentina,ARG,1981,-3.0714512
Argentina,ARG,1982,19.87133
Argentina,ARG,1983,4.8924685
Argentina,ARG,1984,7.6419115
Argentina,ARG,1985,3.902769
Argentina,ARG,1986,1.834619
Argentina,ARG,1987,4.085541
Argentina,ARG,1988,-30.140097
Argentina,ARG,1989,-13.578833
Argentina,ARG,1990,34.248604
Argentina,ARG,1991,-10.343581
Argentina,ARG,1992,20.59226
Argentina,ARG,1993,23.680782
Argentina,ARG,1994,14.755845
Argentina,ARG,1995,-2.7860641
Argentina,ARG,1996,-14.718169
Argentina,ARG,1997,23.844315
Argentina,ARG,1998,-4.989892
Argentina,ARG,1999,-18.796057
Argentina,ARG,2000,33.661842
Argentina,ARG,2001,27.577925
Argentina,ARG,2002,-1.6498148
Argentina,ARG,2003,-4.4611692
Argentina,ARG,2004,-9.657192
Argentina,ARG,2005,12.107361
Argentina,ARG,2006,11.154329
Argentina,ARG,2007,-17.322605
Argentina,ARG,2008,0.29383898
Argentina,ARG,2009,10.46685
Argentina,ARG,2010,13.508785
Argentina,ARG,2011,1.4544249
Argentina,ARG,2012,0.27803183
Argentina,ARG,2013,12.747372
Argentina,ARG,2014,3.764987
Argentina,ARG,2015,2.3492336
Argentina,ARG,2016,-4.1062536
Argentina,ARG,2017,9.643209
Argentina,ARG,2018,1.3414145
Argentina,ARG,2019,-0.12308955
Argentina,ARG,2020,-12.277204
Argentina,ARG,2021,2.5743604
Argentina,ARG,2022,20.653677
Asia,,1966,4.3086886
Asia,,1967,-6.5321503
Asia,,1968,11.143422
Asia,,1969,3.808689
Asia,,1970,2.5038958
Asia,,1971,9.356726
Asia,,1972,3.4254313
Asia,,1973,-7.0034623
Asia,,1974,13.892412
Asia,,1975,7.7494264
Asia,,1976,2.8160453
Asia,,1977,-1.6594946
Asia,,1978,5.403745
Asia,,1979,8.487821
Asia,,1980,7.6562405
Asia,,1981,7.2677135
Asia,,1982,2.104199
Asia,,1983,5.1170588
Asia,,1984,0.7239938
Asia,,1985,17.795193
Asia,,1986,0.959301
Asia,,1987,3.504479
Asia,,1988,14.533615
Asia,,1989,2.5879502
Asia,,1990,4.213345
Asia,,1991,1.1608839
Asia,,1992,0.77404976
Asia,,1993,10.659456
Asia,,1994,0.0052809715
Asia,,1995,8.5860615
Asia,,1996,-0.5732119
Asia,,1997,0.31324625
Asia,,1998,6.0767293
Asia,,1999,-1.7834544
Asia,,2000,3.495586
Asia,,2001,7.688391
Asia,,2002,5.298054
Asia,,2003,4.4332623
Asia,,2004,17.393005
Asia,,2005,4.6875715
Asia,,2006,10.914362
Asia,,2007,6.120932
Asia,,2008,14.763188
Asia,,2009,0.31811
Asia,,2010,16.698624
Asia,,2011,4.497099
Asia,,2012,14.783263
Asia,,2013,11.817682
Asia,,2014,11.65868
Asia,,2015,6.4460993
Asia,,2016,9.457218
Asia,,2017,9.204626
Asia,,2018,10.394716
Asia,,2019,10.578859
Asia,,2020,7.1186304
Asia,,2021,10.376668
Asia,,2022,9.728134
Asia Pacific (EI),,1966,3.9441705
Asia Pacific (EI),,1967,-5.894363
Asia Pacific (EI),,1968,10.068893
Asia Pacific (EI),,1969,3.5010457
Asia Pacific (EI),,1970,3.8202405
Asia Pacific (EI),,1971,10.261011
Asia Pacific (EI),,1972,2.8278232
Asia Pacific (EI),,1973,-5.343109
Asia Pacific (EI),,1974,12.700546
Asia Pacific (EI),,1975,6.658983
Asia Pacific (EI),,1976,0.31512976
Asia Pacific (EI),,1977,-2.6167393
Asia Pacific (EI),,1978,4.4800043
Asia Pacific (EI),,1979,8.627701
Asia Pacific (EI),,1980,6.8677664
Asia Pacific (EI),,1981,6.517887
Asia Pacific (EI),,1982,0.6116867
Asia Pacific (EI),,1983,6.285608
Asia Pacific (EI),,1984,0.54752827
Asia Pacific (EI),,1985,6.788552
Asia Pacific (EI),,1986,2.6418686
Asia Pacific (EI),,1987,-0.27070045
Asia Pacific (EI),,1988,10.512531
Asia Pacific (EI),,1989,7.3976755
Asia Pacific (EI),,1990,1.7707229
Asia Pacific (EI),,1991,2.8041124
Asia Pacific (EI),,1992,-2.0121217
Asia Pacific (EI),,1993,9.134542
Asia Pacific (EI),,1994,1.461184
Asia Pacific (EI),,1995,9.611583
Asia Pacific (EI),,1996,-1.8590689
Asia Pacific (EI),,1997,1.2614489
Asia Pacific (EI),,1998,6.5537453
Asia Pacific (EI),,1999,-0.38242936
Asia Pacific (EI),,2000,4.702282
Asia Pacific (EI),,2001,8.871424
Asia Pacific (EI),,2002,3.5244584
Asia Pacific (EI),,2003,3.408575
Asia Pacific (EI),,2004,17.301678
Asia Pacific (EI),,2005,5.513668
Asia Pacific (EI),,2006,11.102605
Asia Pacific (EI),,2007,7.4769974
Asia Pacific (EI),,2008,17.868698
Asia Pacific (EI),,2009,0.4284978
Asia Pacific (EI),,2010,15.177429
Asia Pacific (EI),,2011,5.2488923
Asia Pacific (EI),,2012,14.457428
Asia Pacific (EI),,2013,12.168873
Asia Pacific (EI),,2014,13.374508
Asia Pacific (EI),,2015,5.419302
Asia Pacific (EI),,2016,9.359741
Asia Pacific (EI),,2017,9.277142
Asia Pacific (EI),,2018,11.016369
Asia Pacific (EI),,2019,8.7144375
Asia Pacific (EI),,2020,8.093464
Asia Pacific (EI),,2021,11.571634
Asia Pacific (EI),,2022,9.971476
Australia,AUS,1966,-4.4668674
Australia,AUS,1967,3.4964323
Australia,AUS,1968,4.264462
Australia,AUS,1969,8.899128
Australia,AUS,1970,16.358566
Australia,AUS,1971,12.833559
Australia,AUS,1972,0.53414106
Australia,AUS,1973,6.6805124
Australia,AUS,1974,13.300872
Australia,AUS,1975,7.508123
Australia,AUS,1976,-4.805565
Australia,AUS,1977,-4.5423927
Australia,AUS,1978,7.9253078
Australia,AUS,1979,-2.7604997
Australia,AUS,1980,-5.540472
Australia,AUS,1981,3.023088
Australia,AUS,1982,-6.8954887
Australia,AUS,1983,-5.507064
Australia,AUS,1984,8.063162
Australia,AUS,1985,6.1145782
Australia,AUS,1986,0.62019825
Australia,AUS,1987,-2.7751505
Australia,AUS,1988,6.970048
Australia,AUS,1989,-0.011777878
Australia,AUS,1990,3.0227065
Australia,AUS,1991,5.5380583
Australia,AUS,1992,1.4967799
Australia,AUS,1993,2.7070045
Australia,AUS,1994,-1.195991
Australia,AUS,1995,-2.2807717
Australia,AUS,1996,2.8083801
Australia,AUS,1997,0.23630857
Australia,AUS,1998,-0.32405853
Australia,AUS,1999,3.3426523
Australia,AUS,2000,0.21802187
Australia,AUS,2001,-1.5658379
